wavelength,in,out
30129.895276381907,-81.64025429719061,-81.63777921553626
29979.245799999997,-81.6347494818896,-81.63613333393482
29830.095323383084,-81.6354474854289,-81.63545360490298
29682.421584158415,-81.64138436864678,-81.64108293472901
29536.20275862069,-81.6202659179207,-81.59208808230682
29391.417450980392,-81.63352594106038,-81.63526121590505
29248.04468292683,-81.63860940123834,-81.63360934840992
29106.063883495146,-81.63370895591493,-81.63463060454498
28965.454879227054,-81.63757797521782,-81.63744045443744
28826.197884615387,-81.6280637840691,-81.62745458660507
28688.273492822966,-81.61943394929676,-81.62231548120471
28551.662666666667,-81.62989912680658,-81.62920445715136
28416.34672985782,-81.6361894417357,-81.63765157030357
28282.307358490565,-81.61235536820405,-81.61108392108389
28149.526572769955,-81.64037929264228,-81.64129014472508
28017.986728971962,-81.60467563887119,-81.58639969006117
27887.670511627904,-81.62439650087546,-81.61869705629388
27758.56092592593,-81.6391370625933,-81.64106782529282
27630.64129032258,-81.63574097348894,-81.63396191538135
27503.895229357797,-81.63890264059884,-81.63880132092609
27378.306666666667,-81.63261578963844,-81.63220664654719
27253.859818181816,-81.61697290641055,-81.61254926575626
27130.539185520363,-81.57328410082977,-81.58248587324519
27008.329549549548,-81.64017638072502,-81.63990056181845
26887.215964125564,-81.632953323429,-81.63274628027864
26767.18375,-81.64155575707946,-81.64063107938142
26648.21848888889,-81.60321084548107,-81.60430274897854
26530.306017699113,-81.62792622542435,-81.59451219078107
26413.43242290749,-81.61133996134825,-81.6138781890231
26297.58403508772,-81.62426193849109,-81.62457657839869
26182.747423580786,-81.62354882993623,-81.62154632458308
26068.909391304347,-81.6381690574892,-81.63628467328763
25956.05696969697,-81.63630891900848,-81.63280255462874
25844.177413793102,-81.6344785780779,-81.63124634133541
25733.258197424893,-81.59409732088821,-81.59508985666491
25623.28700854701,-81.6179056236929,-81.61589221369923
25514.25174468085,-81.63243953992603,-81.62691570703672
25406.140508474575,-81.63215113157261,-81.6299646435418
25298.94160337553,-81.63537155362971,-81.62302470827919
25192.643529411765,-81.63753742695272,-81.63991650879234
25087.234979079498,-81.63406535836384,-81.63348463192088
24982.704833333333,-81.59587855864203,-81.59533906570718
24879.042157676347,-81.63265086993411,-81.63425333161487
24776.236198347106,-81.61454489443614,-81.59162350320182
24674.27637860082,-81.6047971710075,-81.61196317314415
24573.152295081967,-81.63403334306918,-81.63495231574797
24472.853714285717,-81.61479035406327,-81.61134178309484
24373.37056910569,-81.63267576726778,-81.63002712000605
24274.692955465587,-81.61105055536575,-81.60962304598573
24176.81112903226,-81.59504021113432,-81.57034515737783
24079.71550200803,-81.61046737157562,-81.61353196116238
23983.39664,-81.61989468255655,-81.61396326839528
23887.845258964142,-81.61339110085399,-81.61454788331375
23793.05222222222,-81.6252171012645,-81.61393578426578
23699.008537549405,-81.63948788482296,-81.63965358967232
23605.70535433071,-81.63335157260107,-81.6230433196296
23513.13396078431,-81.6059363630431,-81.60774673459252
23421.28578125,-81.62630314619997,-81.62369646252185
23330.152373540855,-81.63031338218357,-81.63312281757266
23239.72542635659,-81.63212064517973,-81.63435912184573
23149.99675675676,-81.6344169515302,-81.61354496257528
23060.958307692308,-81.59590655019011,-81.61537777707218
22972.60214559387,-81.63617409021006,-81.6327285594912
22884.92045801527,-81.62275303014175,-81.6205305430907
22797.905551330798,-81.63422160777907,-81.63337564090298
22711.549848484847,-81.6135463710535,-81.6169245238726
22625.845886792453,-81.62371714411401,-81.62072116994713
22540.78631578947,-81.62364605372744,-81.62486466341574
22456.363895131086,-81.59027582780115,-81.58316121964188
22372.571492537314,-81.57989562475291,-81.5823290556861
22289.40208178439,-81.63441434861082,-81.6308794369632
22206.84874074074,-81.62260795883773,-81.63086440104988
22124.904649446493,-81.63243574983417,-81.60222988539383
22043.563088235296,-81.63949569704184,-81.62592219018089
21962.817435897436,-81.63523953672791,-81.63476592210941
21882.661167883212,-81.62790823758118,-81.62635306680465
21803.087854545454,-81.62127477920089,-81.62131851248432
21724.09115942029,-81.58411155807514,-81.57753773222615
21645.66483754513,-81.58096898746416,-81.59658225797537
21567.80273381295,-81.59653113149159,-81.5901962084034
21490.498781362006,-81.6384357983683,-81.6382756128684
21413.747,-81.63995484102412,-81.63945819524278
21337.54149466192,-81.61405974404767,-81.61606131980955
21261.87645390071,-81.63797763449179,-81.64163814654668
21186.746148409893,-81.63310281995331,-81.61190152890916
21112.144929577466,-81.638267494079,-81.62770985759835
21038.067228070173,-81.63598789561607,-81.63504503336878
20964.50755244755,-81.6003033091408,-81.59802930591636
20891.460487804878,-81.62285824731728,-81.62431235393507
20818.920694444445,-81.57085295143685,-81.57229095573311
20746.882906574392,-81.63316082653182,-81.61601058398176
20675.341931034483,-81.60446282147123,-81.59888858627917
20604.29264604811,-81.64020135682077,-81.63933326584953
20533.730000000003,-81.57680315553915,-81.57531690771427
20463.649010238907,-81.6204207547957,-81.61766969806109
20394.044761904763,-81.60624032623511,-81.59469447646077
20324.912406779662,-81.6084674992297,-81.5924844477926
20256.247162162163,-81.60286188436126,-81.52621638067512
20188.04430976431,-81.64110770055103,-81.6357498145396
20120.299194630872,-81.51868982133774,-81.52091432291175
20053.00722408027,-81.6089947052977,-81.60956899822722
19986.163866666666,-81.56849539229742,-81.56782963741662
19919.764651162794,-81.58981103901985,-81.57044712486464
19853.805165562913,-81.63896507658188,-81.62679618913856
19788.28105610561,-81.6318364050353,-81.63613834606392
19723.18802631579,-81.62128303805247,-81.61993823310803
19658.521836065574,-81.62059998268424,-81.6203895802849
19594.278300653594,-81.59533113444894,-81.59839134701028
19530.45328990228,-81.638011441776,-81.64096965309668
19467.04272727273,-81.57304336180712,-81.58330668425322
19404.042588996766,-81.63769188398376,-81.64165125712614
19341.448903225806,-81.58754813296889,-81.58475814590773
19279.257749196142,-81.6390405129363,-81.63760435400823
19217.465256410258,-81.61427166332598,-81.61240543967895
19156.067603833864,-81.6069332699528,-81.60375050481562
19095.06101910828,-81.59590219196741,-81.59002494437411
19034.441777777778,-81.61560628426457,-81.61721696750666
18974.206202531645,-81.63676313008361,-81.6378694427294
18914.35066246057,-81.6395169878297,-81.63866934356528
18854.871572327047,-81.63642887489112,-81.63540609760645
18795.765391849527,-81.6303939286042,-81.62839659996584
18737.028625000003,-81.63085085911996,-81.6186723650705
18678.65781931464,-81.55811510638557,-81.59351836342867
18620.64956521739,-81.62928058652906,-81.62622183509833
18563.00049535604,-81.57258231730745,-81.5803996827656
18505.707283950618,-81.55324890250893,-81.55679845184201
18448.766646153843,-81.5731681200158,-81.56624786600844
18392.175337423316,-81.62126375517195,-81.62622990022422
18335.9301529052,-81.62122024008266,-81.62667032755402
18280.027926829265,-81.60017821949415,-81.60443750637515
18224.465531914895,-81.6314413124039,-81.63086409071849
18169.239878787877,-81.418593147866,-81.4186464914903
18114.347915407856,-81.62225695780586,-81.62194107782267
18059.786626506022,-81.62984534603206,-81.63380344938165
18005.553033033033,-81.60407949922424,-81.55911219733667
17951.644191616764,-81.61992179075773,-81.62558443472716
17898.05719402985,-81.63177309591941,-81.63544084852944
17844.789166666666,-81.57805215591091,-81.58316144521555
17791.837270029675,-81.6284481212223,-81.62867594811772
17739.198698224853,-81.62303834626275,-81.62256893633861
17686.870678466075,-81.6276391076037,-81.62854838656784
17634.850470588237,-81.61670272180197,-81.60959582195827
17583.135366568913,-81.59353729488546,-81.59379800224912
17531.72269005848,-81.59059820601121,-81.59102454168269
17480.609795918364,-81.45200741879222,-81.43954681281386
17429.794069767442,-81.61512362003734,-81.61340830380365
17379.27292753623,-81.64047673864317,-81.64042616660495
17329.0438150289,-81.61317540309693,-81.63145456188587
17279.104207492794,-81.62214487493654,-81.54073139145041
17229.451609195403,-81.58155730568365,-81.58390370944826
17180.083553008597,-81.62171789089749,-81.6182071796348
17130.9976,-81.60843210441209,-81.60529415032141
17082.19133903134,-81.62031738356629,-81.61964542040315
17033.662386363634,-81.58590518662564,-81.58515042846486
16985.408385269122,-81.47487333449007,-81.50043117158259
16937.42700564972,-81.60792313441524,-81.60337020162231
16889.71594366197,-81.61368978741379,-81.61817084373567
16842.272921348314,-81.60003907490304,-81.60684751389596
16795.09568627451,-81.50373571103881,-81.50440923240109
16748.182011173187,-81.61300529699841,-81.61616250608
16701.529693593315,-81.63374651019762,-81.62847836910967
16655.136555555557,-81.63057588284218,-81.63261310987005
16609.000443213296,-81.62588546078055,-81.59164459257207
16563.11922651934,-81.62202818911206,-81.62488397269689
16517.490798898074,-81.52967962611257,-81.51337890634008
16472.113076923077,-81.60776145280721,-81.59958312540482
16426.984,-81.57545114273282,-81.56973546081164
16382.101530054644,-81.57180434522428,-81.56940211739939
16337.463651226157,-81.60922942366153,-81.58818309545515
16293.068369565219,-81.58461851277792,-81.57315736196469
16248.913712737129,-81.57539011256804,-81.57798963155571
16204.99772972973,-81.60457563288057,-81.59994544746178
16161.318490566036,-81.57917697893035,-81.5812494458848
16117.874086021504,-81.59296546608385,-81.59656721190402
16074.662627345844,-81.63841116091191,-81.63791781370833
16031.682245989303,-81.57948269564403,-81.5741442910163
15988.931093333335,-81.6148290108097,-81.58295670434367
15946.407340425532,-81.62709563905074,-81.60596312606393
15904.109177718832,-81.51392147151071,-81.51229609599469
15862.034814814813,-81.52452062152375,-81.5234588297289
15820.18248021108,-81.57936279923237,-81.57713112741476
15778.550421052632,-81.47159581747533,-81.46385047291446
15737.136902887141,-81.61150059222169,-81.60388676776813
15695.940209424085,-81.59236783551037,-81.58650363569987
15654.95864229765,-81.56976026464113,-81.56948426446976
15614.190520833332,-81.5353129143628,-81.52794979175945
15573.634181818183,-81.56603111552187,-81.56084349766397
15533.287979274612,-81.37413119852275,-81.36888457903694
15493.150284237727,-81.63885964722391,-81.63431111898873
15453.219484536081,-81.56470350342386,-81.51690711901855
15413.493984575836,-81.54995246955215,-81.60896596794538
15373.972205128204,-81.61235018804851,-81.62453701187573
15334.652583120205,-81.61011091140205,-81.61187639970692
15295.533571428572,-81.30414132082112,-81.29318359755402
15256.613638676845,-81.5289614119639,-81.53070433242502
15217.891269035532,-81.52231634273593,-81.52481603440987
15179.364962025316,-81.53106892796077,-81.52143779113399
15141.033232323232,-81.5960972525549,-81.60502922536935
15102.894609571787,-81.59033951958193,-81.58715887262187
15064.947638190954,-81.59579808171239,-81.60467027338052
15027.190877192981,-81.56941799961001,-81.56111050757985
14989.622899999998,-81.62064642067187,-81.62123206259182
14952.242294264339,-81.61752206707055,-81.61758769824499
14915.047661691542,-81.47879536578856,-81.50166570638496
14878.037617866004,-81.62364686579474,-81.63518687063404
14841.210792079208,-81.55561479302227,-81.4151394435186
14804.565827160493,-81.59066893085716,-81.594864664422
14768.101379310345,-81.55885237221199,-81.55808148891433
14731.816117936118,-81.59125895770907,-81.59159607758588
14695.708725490196,-81.6166351388994,-81.62010242494074
14659.777897310514,-81.54321888145395,-81.5383616582532
14624.022341463415,-81.64122311074922,-81.64132710783517
14588.440778588807,-81.60369927901226,-81.57705282203676
14553.031941747573,-81.56802762035667,-81.55870939323214
14517.794576271186,-81.58638491605726,-81.58355211688215
14482.727439613527,-81.56652855559176,-81.56951838010932
14447.82930120482,-81.54714547578294,-81.54335799215119
14413.098942307694,-81.61140546376637,-81.59728497622675
14378.5351558753,-81.56732417602242,-81.56665908872205
14344.136746411483,-81.63821308823856,-81.6328329168874
14309.902529832936,-81.58617185242059,-81.60757694546422
14275.831333333334,-81.57106969114295,-81.59099378735925
14241.921995249406,-81.51422145572894,-81.5019344047665
14208.17336492891,-81.39329234183097,-81.39476041913983
14174.584302600473,-81.5844777386377,-81.59558213271643
14141.153679245283,-81.58112407151785,-81.58859353738606
14107.880376470588,-81.63160966073966,-81.62766131173265
14074.763286384978,-81.43036679117324,-81.39551663343141
14041.80131147541,-81.58147396171614,-81.59848768368136
14008.993364485981,-81.62592684973839,-81.62436288221735
13976.338368298368,-81.63809633335543,-81.63809429570293
13943.835255813952,-81.4397015051666,-81.43212854687147
13911.482969837587,-81.63197209248003,-81.63016419155136
13879.280462962965,-81.62198946599415,-81.63243388358717
13847.226697459584,-81.30797041956859,-81.10427552040423
13815.32064516129,-81.52980273620469,-81.51231631032974
13783.561287356322,-81.57585856632969,-81.5414425315121
13751.947614678898,-81.63939947548002,-81.63821924680374
13720.478627002289,-81.35780472832849,-81.3600863177787
13689.153333333334,-81.61317169821567,-81.61528414665341
13657.970751708428,-81.4934410625406,-81.47800792298332
13626.929909090908,-81.63550151922894,-81.63417033297699
13596.029841269841,-81.60741238011892,-81.6018275512561
13565.269592760182,-81.54693977423761,-81.54599575043167
13534.64821670429,-81.47374837107543,-81.46187097647595
13504.164774774774,-81.41615671866515,-81.41514647335057
13473.818337078652,-81.606562357316,-81.60080466149506
13443.607982062782,-81.60299936269422,-81.6040986796342
13413.53279642058,-81.51607804667239,-81.51917794052801
13383.591875,-81.49342192377415,-81.46778065496619
13353.784320712695,-81.60127325854103,-81.64028078784676
13324.109244444446,-81.57518146619267,-81.56972462902598
13294.565764966741,-81.57725059793412,-81.59624584999756
13265.153008849556,-81.4481740226301,-81.45169582164482
13235.870110375276,-81.25109581710817,-81.24434523021867
13206.716211453744,-81.63721048018527,-81.63780278530251
13177.690461538461,-81.32464067117283,-81.30266669815856
13148.79201754386,-81.25442362008286,-81.2287382925912
13120.020043763676,-81.45092252717114,-81.43957598935714
13091.373711790393,-81.57552886540677,-81.55880667863372
13062.85220043573,-81.62162133258269,-81.62330449712678
13034.454695652174,-81.48356986905839,-81.48092943308617
13006.180390455533,-81.5818904740739,-81.57344351843281
12978.028484848484,-81.56654635236106,-81.56610237442132
12949.99818574514,-81.5857987153536,-81.58460787848668
12922.088706896551,-81.41768844642428,-81.45600435205264
12894.299268817203,-81.64061840919956,-81.63754794254683
12866.629098712447,-81.62966488848951,-81.57178044269645
12839.077430406853,-81.47741042824805,-81.4299783535566
12811.643504273505,-81.57830511442268,-81.57940895932737
12784.32656716418,-81.53442157432377,-81.53116834104955
12757.125872340424,-81.38464822000827,-81.37775076476092
12730.04067940552,-81.2969759494784,-81.28425980116305
12703.070254237287,-81.54812399759535,-81.55279377109957
12676.213868921775,-81.61809354681037,-81.61703539252753
12649.470801687765,-81.43031833628723,-81.36892969909354
12622.840336842106,-81.61863660759016,-81.6166743274506
12596.321764705883,-81.57423105101319,-81.56858139132262
12569.914381551363,-81.58326128152046,-81.58333796143262
12543.617489539749,-81.55438920254733,-81.55476733914412
12517.430396659707,-81.61203246963339,-81.6146060638811
12491.352416666667,-81.4910546971376,-81.48687890370726
12465.38286902287,-81.44287605614267,-81.43782423362859
12439.521078838174,-81.55170404086661,-81.53232046708064
12413.766376811594,-81.0876011893468,-81.183989707293
12388.118099173553,-81.42849189345529,-81.4559759811844
12362.575587628866,-81.58845968644937,-81.57944191762152
12337.13818930041,-81.59841661285114,-81.59675803427885
12311.805256673511,-81.59576112605322,-81.59797965804682
12286.576147540984,-81.5905886310955,-81.58440805590905
12261.450224948876,-81.63441055479524,-81.63643367033833
12236.426857142858,-81.6289718542071,-81.63193342881422
12211.505417515275,-81.53189700787229,-81.51904252827413
12186.685284552845,-81.63867995626427,-81.6384224751061
12161.96584178499,-81.4059331829171,-81.3822766600644
12137.346477732794,-81.52123073012368,-81.51884657093899
12112.826585858586,-81.54456009677594,-81.53697748992428
12088.40556451613,-81.60960882884831,-81.58828476855635
12064.082816901408,-81.30713982826703,-81.29636428444749
12039.857751004016,-81.3490264554176,-81.32878745250349
12015.729779559118,-81.5857093876131,-81.50790429378
11991.69832,-81.24246607458824,-81.30187555870177
11967.762794411177,-81.59702056689892,-81.59261574015056
11943.922629482071,-81.57133154673403,-81.5772421773533
11920.177256461233,-81.22293460496255,-81.20536881533278
11896.52611111111,-81.3059900940901,-81.27699581417426
11872.968633663366,-81.46927674732424,-81.45928298588095
11849.504268774703,-81.56694818379162,-81.5638274227002
11826.132465483235,-81.55607838167924,-81.52888670247981
11802.852677165354,-81.38564163809426,-81.40269069285094
11779.664361493124,-81.47447080318446,-81.49648892092128
11756.566980392156,-81.57362344011065,-81.57346624577855
11733.56,-81.44370236110692,-81.44546786802388
11710.642890625,-81.55318079685676,-81.57164948735908
11687.815126705653,-81.3947721269017,-81.42098153454549
11665.076186770428,-81.08021147303819,-81.07380486770506
11642.425553398058,-81.52659881674282,-81.50457070721367
11619.862713178294,-81.5035403904271,-81.48923529973283
11597.387156673114,-81.23514723139948,-81.29443365643237
11574.99837837838,-81.55214193146264,-81.56709852085606
11552.695876685933,-81.40536219754117,-81.39842405981616
11530.479153846154,-81.45967706434189,-81.46676905857734
11508.347715930902,-81.59117818866937,-81.5869834708682
11486.301072796936,-81.5907933110781,-81.59169066168369
11464.338738049713,-81.36627508595566,-81.36381540073691
11442.460229007635,-81.5327499879993,-81.53636134429459
11420.665066666666,-81.4254785007947,-81.39928716682022
11398.952775665399,-81.62520400661256,-81.60634614661856
11377.322884250474,-81.41750965588636,-81.45912643206799
11355.774924242423,-81.1336235121376,-81.06082726575403
11334.30843100189,-81.62966491688366,-81.62810367358077
11312.922943396226,-81.53431508838406,-81.52927039888161
11291.61800376648,-81.56256608274867,-81.56290649511786
11270.393157894736,-81.24567187025715,-81.24821575254165
11249.247954971857,-81.6242370572302,-81.61848212020601
11228.181947565543,-81.5011871452447,-81.50302074578548
11207.194691588786,-81.27314816980984,-81.30612561502508
11186.285746268657,-81.42885829626886,-81.45155575899616
11165.454674115455,-81.51395395023286,-81.49728248265254
11144.701040892194,-81.60454348062845,-81.60544498461036
11124.024415584416,-81.60265109207273,-81.59542634808437
11103.42437037037,-81.21032615257121,-81.19190604462145
